image_id,port,official,portwise
100000757,mayport,train,val
100000758,mayport,train,val
100000759,mayport,val,val
100000760,mayport,train,val
100000761,mayport,train,val
100000762,mayport,train,val
100000763,mayport,test,val
100000764,mayport,train,val
100000765,mayport,val,val
100000766,mayport,train,val
100000767,mayport,train,val
100000768,mayport,train,val
100000769,mayport,train,val
100000770,mayport,train,val
100000771,mayport,test,val
100000772,mayport,train,val
100000773,mayport,test,val
100000774,mayport,test,val
100000775,mayport,val,val
100000776,mayport,test,val
100000777,mayport,train,val
100000778,mayport,test,val
100000779,mayport,test,val
100000780,mayport,val,val
100000781,mayport,val,val
100000782,mayport,train,val
100000783,mayport,test,val
100000784,mayport,val,val
100000785,mayport,test,val
100000786,mayport,train,val
100000787,mayport,train,val
100000788,mayport,train,val
100000789,mayport,test,val
100000790,mayport,test,val
100000791,mayport,val,val
100000792,mayport,test,val
100000793,mayport,test,val
100000794,mayport,test,val
100000795,mayport,train,val
100000796,mayport,train,val
100000797,mayport,train,val
100000798,mayport,val,val
100000799,mayport,train,val
100000800,mayport,test,val
100000801,mayport,train,val
100000802,mayport,test,val
100000803,mayport,test,val
100000804,mayport,test,val
100000805,mayport,test,val
100000806,mayport,train,val
100000807,mayport,test,val
100000808,mayport,train,val
100000809,mayport,val,val
100000810,mayport,train,val
100000811,mayport,test,val
100000812,mayport,test,val
100000813,mayport,train,val
100000814,mayport,test,val
100000815,mayport,test,val
100000816,mayport,train,val
100000817,mayport,test,val
100000818,mayport,train,val
100000819,mayport,train,val
100000820,mayport,train,val
100000821,mayport,train,val
100000822,mayport,train,val
100000823,mayport,train,val
100000824,mayport,test,val
100000825,mayport,test,val
100000826,mayport,test,val
100000827,mayport,train,val
100000828,mayport,test,val
100000829,mayport,val,val
100000830,mayport,test,val
100000831,mayport,test,val
100000832,mayport,test,val
100000833,mayport,test,val
100000834,mayport,test,val
100000835,mayport,test,val
100000836,mayport,test,val
100000837,mayport,val,val
100000838,mayport,train,val
100000839,mayport,train,val
100000840,mayport,train,val
100000841,mayport,train,val
100000842,mayport,test,val
100000843,mayport,train,val
100000844,mayport,test,val
100000845,mayport,test,val
100000846,mayport,test,val
100000847,mayport,val,val
100000848,mayport,test,val
100000849,mayport,test,val
100000850,mayport,test,val
100000851,mayport,train,val
100000852,mayport,train,val
100000853,mayport,train,val
100000854,mayport,test,val
100000855,mayport,test,val
100000856,mayport,test,val
100000857,mayport,test,val
100000858,mayport,test,val
100000859,mayport,val,val
100000860,mayport,train,val
100000861,mayport,train,val
100000862,mayport,test,val
100000863,mayport,test,val
100000864,mayport,val,val
100000865,mayport,test,val
100000866,mayport,train,val
100000867,mayport,test,val
100000868,mayport,train,val
100000869,mayport,val,val
100000870,mayport,train,val
100000871,mayport,test,val
100000872,norfolk,train,train
100000873,norfolk,test,train
100000874,norfolk,train,train
100000875,norfolk,val,train
100000876,norfolk,test,train
100000877,norfolk,train,train
100000878,norfolk,val,train
100000879,norfolk,train,train
100000880,norfolk,train,train
100000881,norfolk,test,train
100000882,norfolk,train,train
100000883,norfolk,train,train
100000884,norfolk,train,train
100000885,norfolk,val,train
100000886,norfolk,train,train
100000887,norfolk,train,train
100000888,norfolk,train,train
100000889,norfolk,test,train
100000890,norfolk,test,train
100000891,norfolk,train,train
100000892,norfolk,test,train
100000893,norfolk,val,train
100000894,norfolk,test,train
100000895,norfolk,train,train
100000896,norfolk,train,train
100000897,norfolk,train,train
100000898,norfolk,test,train
100000899,norfolk,train,train
100000900,norfolk,train,train
100000901,norfolk,train,train
100000902,norfolk,train,train
100000903,norfolk,val,train
100000904,norfolk,test,train
100000905,norfolk,val,train
100000906,norfolk,train,train
100000907,norfolk,test,train
100000908,norfolk,test,train
100000909,norfolk,test,train
100000910,norfolk,val,train
100000911,norfolk,train,train
100000912,norfolk,test,train
100000913,norfolk,test,train
100000914,norfolk,test,train
100000915,norfolk,train,train
100000916,norfolk,train,train
100000917,norfolk,train,train
100000918,norfolk,train,train
100000919,norfolk,test,train
100000920,norfolk,test,train
100000921,norfolk,train,train
100000922,norfolk,train,train
100000923,norfolk,train,train
100000924,norfolk,val,train
100000925,norfolk,test,train
100000926,norfolk,train,train
100000927,norfolk,test,train
100000928,norfolk,val,train
100000929,norfolk,test,train
100000930,norfolk,train,train
100000931,norfolk,test,train
100000932,norfolk,train,train
100000933,norfolk,train,train
100000934,norfolk,test,train
100000935,norfolk,train,train
100000936,norfolk,train,train
100000937,norfolk,train,train
100000938,norfolk,test,train
100000939,norfolk,test,train
100000940,norfolk,train,train
100000941,norfolk,train,train
100000942,norfolk,test,train
100000943,norfolk,train,train
100000944,norfolk,train,train
100000945,norfolk,test,train
100000946,norfolk,test,train
100000947,norfolk,train,train
100000948,norfolk,val,train
100000949,norfolk,val,train
100000950,norfolk,test,train
100000951,norfolk,test,train
100000952,norfolk,test,train
100000953,norfolk,val,train
100000954,norfolk,test,train
100000955,norfolk,train,train
100000956,norfolk,train,train
100000957,norfolk,test,train
100000958,norfolk,val,train
100000959,norfolk,test,train
100000960,norfolk,train,train
100000961,norfolk,val,train
100000962,norfolk,train,train
100000963,norfolk,train,train
100000964,norfolk,train,train
100000965,norfolk,test,train
100000966,norfolk,val,train
100000967,norfolk,test,train
100000968,norfolk,val,train
100000969,norfolk,train,train
100000970,norfolk,test,train
100000971,norfolk,test,train
100000972,norfolk,val,train
100000973,norfolk,train,train
100000974,norfolk,train,train
100000975,norfolk,test,train
100000976,norfolk,train,train
100000977,norfolk,train,train
100000978,norfolk,val,train
100000979,norfolk,train,train
100000980,norfolk,train,train
100000981,norfolk,val,train
100000982,norfolk,train,train
100000983,norfolk,test,train
100000984,norfolk,test,train
100000985,norfolk,train,train
100000986,norfolk,train,train
100000987,norfolk,train,train
100000988,norfolk,train,train
100000989,norfolk,test,train
100000990,norfolk,train,train
100000991,norfolk,test,train
100000992,norfolk,train,train
100000993,norfolk,train,train
100000994,norfolk,train,train
100000995,norfolk,train,train
100000996,norfolk,test,train
100000997,norfolk,train,train
100000998,norfolk,val,train
100000999,norfolk,test,train
100001000,norfolk,test,train
100001001,norfolk,val,train
100001002,norfolk,val,train
100001003,norfolk,train,train
100001004,norfolk,test,train
100001005,norfolk,test,train
100001006,norfolk,test,train
100001007,norfolk,train,train
100001008,norfolk,train,train
100001009,norfolk,train,train
100001010,norfolk,test,train
100001011,norfolk,test,train
100001012,norfolk,train,train
100001013,norfolk,test,train
100001014,norfolk,test,train
100001015,norfolk,train,train
100001016,norfolk,train,train
100001017,norfolk,test,train
100001018,norfolk,test,train
100001019,norfolk,val,train
100001020,norfolk,train,train
100001021,norfolk,val,train
100001022,norfolk,test,train
100001023,norfolk,train,train
100001024,norfolk,train,train
100001025,norfolk,train,train
100001026,norfolk,train,train
100001027,norfolk,val,train
100001028,norfolk,train,train
100001029,norfolk,test,train
100001030,norfolk,train,train
100001031,norfolk,train,train
100001032,norfolk,test,train
100001033,norfolk,train,train
100001034,norfolk,train,train
100001035,norfolk,test,train
100001036,norfolk,test,train
100001037,norfolk,train,train
100001038,norfolk,train,train
100001039,norfolk,test,train
100001040,norfolk,test,train
100001041,norfolk,test,train
100001042,norfolk,train,train
100001043,norfolk,test,train
100001044,norfolk,val,train
100001045,norfolk,test,train
100001046,norfolk,test,train
100001047,norfolk,train,train
100001048,norfolk,test,train
100001049,norfolk,test,train
100001050,norfolk,val,train
100001051,norfolk,test,train
100001052,norfolk,train,train
100001053,norfolk,train,train
100001054,norfolk,test,train
100001055,norfolk,val,train
100001056,norfolk,test,train
100001057,norfolk,train,train
100001058,norfolk,test,train
100001059,norfolk,test,train
100001060,norfolk,test,train
100001061,norfolk,test,train
100001062,norfolk,val,train
100001063,norfolk,train,train
100001064,norfolk,train,train
100001065,norfolk,test,train
100001066,norfolk,test,train
100001067,norfolk,test,train
100001068,norfolk,train,train
100001069,norfolk,train,train
100001070,norfolk,val,train
100001071,norfolk,val,train
100001072,norfolk,test,train
100001073,norfolk,test,train
100001074,norfolk,val,train
100001075,norfolk,test,train
100001076,norfolk,test,train
100001077,norfolk,test,train
100001078,norfolk,train,train
100001079,norfolk,train,train
100001080,norfolk,train,train
100001081,norfolk,train,train
100001082,norfolk,val,train
100001083,norfolk,val,train
100001084,norfolk,train,train
100001085,norfolk,test,train
100001086,norfolk,train,train
100001087,norfolk,test,train
100001088,norfolk,train,train
100001089,norfolk,train,train
100001090,norfolk,val,train
100001091,norfolk,test,train
100001092,norfolk,test,train
100001093,norfolk,val,train
100001094,norfolk,train,train
100001095,norfolk,val,train
100001096,norfolk,train,train
100001097,norfolk,val,train
100001098,norfolk,train,train
100001099,norfolk,test,train
100001100,norfolk,val,train
100001101,norfolk,test,train
100001102,norfolk,test,train
100001103,norfolk,test,train
100001104,norfolk,test,train
100001105,norfolk,test,train
100001106,norfolk,test,train
100001107,norfolk,test,train
100001108,norfolk,test,train
100001109,norfolk,test,train
100001110,norfolk,val,train
100001111,norfolk,test,train
100001112,norfolk,test,train
100001113,norfolk,train,train
100001114,norfolk,train,train
100001115,norfolk,val,train
100001116,norfolk,test,train
100001117,norfolk,test,train
100001118,norfolk,train,train
100001119,norfolk,test,train
100001120,norfolk,test,train
100001121,norfolk,val,train
100001122,norfolk,train,train
100001123,norfolk,test,train
100001124,norfolk,train,train
100001125,norfolk,val,train
100001126,norfolk,test,train
100001127,norfolk,test,train
100001128,norfolk,val,train
100001129,norfolk,train,train
100001130,norfolk,val,train
100001131,norfolk,train,train
100001132,norfolk,train,train
100001133,norfolk,test,train
100001134,norfolk,test,train
100001135,norfolk,train,train
100001136,norfolk,train,train
100001137,norfolk,val,train
100001138,norfolk,train,train
100001139,norfolk,val,train
100001140,norfolk,test,train
100001141,norfolk,test,train
100001142,norfolk,val,train
100001143,norfolk,test,train
100001144,norfolk,test,train
100001145,norfolk,test,train
100001146,norfolk,train,train
100001147,norfolk,test,train
100001148,norfolk,val,train
100001149,norfolk,test,train
100001150,norfolk,train,train
100001151,norfolk,test,train
100001152,norfolk,test,train
100001153,norfolk,test,train
100001154,norfolk,train,train
100001155,san_diego,train,train
100001156,san_diego,test,train
100001157,san_diego,val,train
100001158,san_diego,test,train
100001159,san_diego,train,train
100001160,san_diego,test,train
100001161,san_diego,test,train
100001162,san_diego,test,train
100001163,san_diego,train,train
100001164,san_diego,test,train
100001165,san_diego,train,train
100001166,san_diego,test,train
100001167,san_diego,train,train
100001168,san_diego,train,train
100001169,san_diego,train,train
100001170,san_diego,train,train
100001171,san_diego,test,train
100001172,san_diego,test,train
100001173,san_diego,train,train
100001174,san_diego,train,train
100001175,san_diego,test,train
100001176,san_diego,test,train
100001177,san_diego,test,train
100001178,san_diego,test,train
100001179,san_diego,test,train
100001180,san_diego,test,train
100001181,san_diego,test,train
100001182,san_diego,train,train
100001183,san_diego,train,train
100001184,san_diego,train,train
100001185,san_diego,test,train
100001186,san_diego,test,train
100001187,san_diego,train,train
100001188,san_diego,test,train
100001189,san_diego,train,train
100001190,san_diego,train,train
100001191,san_diego,train,train
100001192,san_diego,train,train
100001193,san_diego,train,train
100001194,san_diego,train,train
100001195,san_diego,train,train
100001196,san_diego,train,train
100001197,san_diego,train,train
100001198,san_diego,test,train
100001199,san_diego,train,train
100001200,san_diego,train,train
100001201,san_diego,train,train
100001202,san_diego,test,train
100001203,san_diego,test,train
100001204,san_diego,val,train
100001205,san_diego,test,train
100001206,san_diego,test,train
100001207,san_diego,train,train
100001208,san_diego,val,train
100001209,san_diego,val,train
100001210,san_diego,train,train
100001211,san_diego,test,train
100001212,san_diego,val,train
100001213,san_diego,train,train
100001214,san_diego,val,train
100001215,san_diego,test,train
100001216,san_diego,train,train
100001217,san_diego,train,train
100001218,san_diego,train,train
100001219,san_diego,val,train
100001220,san_diego,test,train
100001221,san_diego,test,train
100001222,san_diego,train,train
100001223,san_diego,val,train
100001224,san_diego,train,train
100001225,san_diego,train,train
100001226,san_diego,val,train
100001227,san_diego,val,train
100001228,san_diego,val,train
100001229,san_diego,train,train
100001230,san_diego,train,train
100001231,san_diego,train,train
100001232,san_diego,test,train
100001233,san_diego,train,train
100001234,san_diego,train,train
100001235,san_diego,train,train
100001236,san_diego,test,train
100001237,san_diego,test,train
100001238,san_diego,train,train
100001239,san_diego,train,train
100001240,san_diego,train,train
100001241,san_diego,test,train
100001242,san_diego,train,train
100001243,san_diego,val,train
100001244,san_diego,test,train
100001245,san_diego,val,train
100001246,san_diego,train,train
100001247,san_diego,train,train
100001248,san_diego,test,train
100001249,san_diego,test,train
100001250,san_diego,train,train
100001251,san_diego,train,train
100001252,san_diego,test,train
100001253,san_diego,val,train
100001254,san_diego,val,train
100001255,san_diego,test,train
100001256,san_diego,train,train
100001257,san_diego,test,train
100001258,san_diego,test,train
100001259,san_diego,train,train
100001260,san_diego,train,train
100001261,san_diego,train,train
100001262,san_diego,train,train
100001263,san_diego,train,train
100001264,san_diego,val,train
100001265,san_diego,val,train
100001266,san_diego,val,train
100001267,san_diego,train,train
100001268,san_diego,test,train
100001269,san_diego,test,train
100001270,san_diego,test,train
100001271,san_diego,train,train
100001272,san_diego,test,train
100001273,san_diego,train,train
100001274,san_diego,test,train
100001275,san_diego,train,train
100001276,san_diego,train,train
100001277,san_diego,train,train
100001278,san_diego,train,train
100001279,san_diego,train,train
100001280,san_diego,test,train
100001281,san_diego,train,train
100001282,san_diego,test,train
100001283,san_diego,train,train
100001284,san_diego,train,train
100001285,san_diego,train,train
100001286,san_diego,test,train
100001287,san_diego,train,train
100001288,san_diego,test,train
100001289,san_diego,train,train
100001290,san_diego,train,train
100001291,san_diego,train,train
100001292,san_diego,train,train
100001293,san_diego,train,train
100001294,san_diego,test,train
100001295,san_diego,train,train
100001296,san_diego,train,train
100001297,san_diego,test,train
100001298,san_diego,train,train
100001299,san_diego,val,train
100001300,san_diego,train,train
100001301,san_diego,test,train
100001302,san_diego,train,train
100001303,san_diego,train,train
100001304,san_diego,val,train
100001305,san_diego,test,train
100001306,san_diego,val,train
100001307,san_diego,train,train
100001308,san_diego,test,train
100001309,san_diego,test,train
100001310,san_diego,train,train
100001311,san_diego,val,train
100001312,san_diego,val,train
100001313,san_diego,test,train
100001314,san_diego,train,train
100001315,san_diego,test,train
100001316,san_diego,test,train
100001317,san_diego,val,train
100001318,san_diego,train,train
100001319,san_diego,train,train
100001320,san_diego,train,train
100001321,san_diego,train,train
100001322,san_diego,test,train
100001323,san_diego,val,train
100001324,san_diego,val,train
100001325,san_diego,test,train
100001326,san_diego,test,train
100001327,san_diego,train,train
100001328,san_diego,train,train
100001329,san_diego,train,train
100001330,san_diego,train,train
100001331,san_diego,test,train
100001332,san_diego,test,train
100001333,san_diego,test,train
100001334,san_diego,val,train
100001335,san_diego,train,train
100001336,san_diego,val,train
100001337,san_diego,val,train
100001338,san_diego,train,train
100001339,san_diego,test,train
100001340,san_diego,test,train
100001341,san_diego,train,train
100001342,san_diego,test,train
100001343,san_diego,test,train
100001344,san_diego,train,train
100001345,san_diego,val,train
100001346,san_diego,train,train
100001347,san_diego,test,train
100001348,san_diego,train,train
100001349,san_diego,test,train
100001350,san_diego,train,train
100001351,san_diego,train,train
100001352,san_diego,train,train
100001353,san_diego,val,train
100001354,san_diego,train,train
100001355,san_diego,train,train
100001356,san_diego,test,train
100001357,san_diego,train,train
100001358,san_diego,val,train
100001359,san_diego,test,train
100001360,san_diego,train,train
100001361,san_diego,val,train
100001362,san_diego,val,train
100001363,san_diego,train,train
100001364,san_diego,train,train
100001365,san_diego,train,train
100001366,san_diego,val,train
100001367,san_diego,train,train
100001368,san_diego,train,train
100001369,san_diego,test,train
100001370,san_diego,train,train
100001371,san_diego,train,train
100001372,san_diego,train,train
100001373,san_diego,val,train
100001374,san_diego,train,train
100001375,san_diego,test,train
100001376,san_diego,val,train
100001377,san_diego,test,train
100001378,san_diego,train,train
100001379,san_diego,test,train
100001380,san_diego,test,train
100001381,san_diego,test,train
100001382,san_diego,train,train
100001383,san_diego,train,train
100001384,san_diego,test,train
100001385,san_diego,test,train
100001386,san_diego,train,train
100001387,san_diego,test,train
100001388,san_diego,train,train
100001389,san_diego,test,train
100001390,san_diego,train,train
100001391,san_diego,test,train
100001392,san_diego,test,train
100001393,san_diego,train,train
100001394,san_diego,test,train
100001395,san_diego,train,train
100001396,san_diego,val,train
100001397,san_diego,train,train
100001398,san_diego,train,train
100001399,san_diego,test,train
100001400,san_diego,val,train
100001401,san_diego,train,train
100001402,san_diego,test,train
100001403,san_diego,train,train
100001404,san_diego,train,train
100001405,san_diego,train,train
100001406,san_diego,test,train
100001407,san_diego,val,train
100001408,san_diego,train,train
100001409,san_diego,test,train
100001410,san_diego,test,train
100001411,san_diego,train,train
100001412,san_diego,test,train
100001413,san_diego,val,train
100001414,san_diego,test,train
100001415,san_diego,val,train
100001416,san_diego,test,train
100001417,san_diego,test,train
100001418,san_diego,train,train
100001419,san_diego,train,train
100001420,san_diego,train,train
100001421,san_diego,train,train
100001422,san_diego,test,train
100001423,san_diego,test,train
100001424,san_diego,test,train
100001425,san_diego,train,train
100001426,san_diego,train,train
100001427,san_diego,test,train
100001428,san_diego,val,train
100001429,san_diego,test,train
100001430,san_diego,test,train
100001431,san_diego,test,train
100001432,san_diego,train,train
100001433,san_diego,test,train
100001434,san_diego,train,train
100001435,san_diego,train,train
100001436,san_diego,train,train
100001437,san_diego,train,train
100001438,san_diego,val,train
100001439,san_diego,test,train
100001440,san_diego,test,train
100001441,san_diego,test,train
100001442,san_diego,test,train
100001443,san_diego,test,train
100001444,san_diego,test,train
100001445,san_diego,test,train
100001446,san_diego,train,train
100001447,san_diego,train,train
100001448,san_diego,test,train
100001449,san_diego,test,train
100001450,san_diego,train,train
100001451,san_diego,train,train
100001452,san_diego,test,train
100001453,san_diego,test,train
100001454,san_diego,test,train
100001455,san_diego,test,train
100001456,san_diego,val,train
100001457,san_diego,test,train
100001458,san_diego,test,train
100001459,san_diego,val,train
100001460,san_diego,train,train
100001461,san_diego,test,train
100001462,san_diego,train,train
100001463,san_diego,train,train
100001464,san_diego,train,train
100001465,san_diego,test,train
100001466,san_diego,train,train
100001467,san_diego,test,train
100001468,san_diego,test,train
100001469,san_diego,test,train
100001470,san_diego,train,train
100001471,san_diego,test,train
100001472,san_diego,test,train
100001473,san_diego,train,train
100001474,san_diego,train,train
100001475,san_diego,val,train
100001476,san_diego,val,train
100001477,san_diego,test,train
100001478,san_diego,val,train
100001479,san_diego,val,train
100001480,san_diego,test,train
100001481,san_diego,test,train
100001482,san_diego,test,train
100001483,san_diego,test,train
100001484,san_diego,test,train
100001485,san_diego,train,train
100001486,san_diego,test,train
100001487,san_diego,test,train
100001488,san_diego,val,train
100001489,san_diego,train,train
100001490,san_diego,test,train
100001491,san_diego,test,train
100001492,san_diego,val,train
100001493,san_diego,train,train
100001494,san_diego,val,train
100001495,san_diego,test,train
100001496,san_diego,val,train
100001497,san_diego,val,train
100001498,san_diego,train,train
100001499,san_diego,test,train
100001500,san_diego,val,train
100001501,san_diego,val,train
100001502,san_diego,test,train
100001503,san_diego,test,train
100001504,san_diego,val,train
100001505,san_diego,test,train
100001506,san_diego,train,train
100001507,san_diego,test,train
100001508,san_diego,train,train
100001509,san_diego,test,train
100001510,san_diego,train,train
100001511,san_diego,train,train
100001512,san_diego,test,train
100001513,san_diego,test,train
100001514,san_diego,val,train
100001515,san_diego,test,train
100001516,san_diego,val,train
100001517,san_diego,test,train
100001518,san_diego,val,train
100001519,san_diego,val,train
100001520,san_diego,test,train
100001521,san_diego,train,train
100001522,san_diego,val,train
100001523,san_diego,train,train
100001524,san_diego,train,train
100001525,san_diego,val,train
100001526,san_diego,train,train
100001527,san_diego,test,train
100001528,san_diego,test,train
100001529,san_diego,test,train
100001530,san_diego,val,train
100001531,san_diego,test,train
100001532,san_diego,test,train
100001533,san_diego,test,train
100001534,san_diego,test,train
100001535,san_diego,train,train
100001536,san_diego,val,train
100001537,san_diego,test,train
100001538,san_diego,test,train
100001539,san_diego,train,train
100001540,san_diego,test,train
100001541,san_diego,test,train
100001542,san_diego,test,train
100001543,san_diego,test,train
100001544,san_diego,test,train
100001545,san_diego,test,train
100001546,san_diego,train,train
100001547,san_diego,train,train
100001548,san_diego,test,train
100001549,san_diego,test,train
100001550,san_diego,val,train
100001551,san_diego,train,train
100001552,san_diego,test,train
100001553,san_diego,train,train
100001554,san_diego,test,train
100001555,san_diego,test,train
100001556,san_diego,train,train
100001557,san_diego,train,train
100001558,san_diego,train,train
100001559,san_diego,train,train
100001560,san_diego,test,train
100001561,san_diego,test,train
100001562,san_diego,test,train
100001563,san_diego,train,train
100001564,san_diego,train,train
100001565,san_diego,test,train
100001566,san_diego,train,train
100001567,san_diego,test,train
100001568,san_diego,test,train
100001569,san_diego,train,train
100001570,san_diego,test,train
100001571,san_diego,train,train
100001572,san_diego,test,train
100001573,san_diego,test,train
100001574,san_diego,test,train
100001575,san_diego,train,train
100001576,san_diego,train,train
100001577,san_diego,val,train
100001578,san_diego,train,train
100001579,san_diego,train,train
100001580,san_diego,train,train
100001581,san_diego,test,train
100001582,san_diego,test,train
100001583,san_diego,test,train
100001584,san_diego,test,train
100001585,san_diego,train,train
100001586,san_diego,train,train
100001587,san_diego,train,train
100001588,san_diego,val,train
100001589,san_diego,test,train
100001590,san_diego,val,train
100001591,san_diego,test,train
100001592,san_diego,test,train
100001593,san_diego,train,train
100001594,san_diego,test,train
100001595,san_diego,test,train
100001596,san_diego,test,train
100001597,san_diego,test,train
100001598,san_diego,train,train
100001599,san_diego,test,train
100001600,san_diego,val,train
100001601,san_diego,val,train
100001602,san_diego,test,train
100001603,san_diego,train,train
100001604,san_diego,val,train
100001605,san_diego,train,train
100001606,san_diego,train,train
100001607,san_diego,train,train
100001608,san_diego,test,train
100001609,san_diego,test,train
100001610,san_diego,test,train
100001611,san_diego,train,train
100001612,san_diego,val,train
100001613,san_diego,test,train
100001614,san_diego,train,train
100001615,san_diego,test,train
100001616,san_diego,test,train
100001617,san_diego,train,train
100001618,san_diego,val,train
100001619,san_diego,train,train
100001620,san_diego,train,train
100001621,san_diego,train,train
100001622,san_diego,val,train
100001623,san_diego,val,train
100001624,san_diego,train,train
100001625,san_diego,train,train
100001626,san_diego,train,train
100001627,san_diego,train,train
100001628,san_diego,test,train
100001629,san_diego,train,train
100001630,san_diego,train,train
100001631,san_diego,train,train
100001632,san_diego,val,train
100001633,san_diego,test,train
100001634,san_diego,train,train
100001635,san_diego,test,train
100001636,san_diego,test,train
100001637,san_diego,train,train
100001638,san_diego,test,train
100001639,san_diego,test,train
100001640,san_diego,val,train
100001641,san_diego,train,train
100001642,san_diego,test,train
100001643,san_diego,train,train
100001644,san_diego,test,train
100001645,san_diego,test,train
100001646,san_diego,test,train
100001647,san_diego,train,train
100001648,san_diego,val,train
100001649,san_diego,test,train
100001650,san_diego,train,train
100001651,san_diego,train,train
100001652,san_diego,test,train
100001653,san_diego,train,train
100001654,san_diego,val,train
100001655,san_diego,train,train
100001656,san_diego,train,train
100001657,san_diego,val,train
100001658,san_diego,test,train
100001659,san_diego,test,train
100001660,san_diego,test,train
100001661,san_diego,train,train
100001662,san_diego,test,train
100001663,san_diego,val,train
100001664,san_diego,test,train
100001665,san_diego,train,train
100001666,san_diego,train,train
100001667,san_diego,test,train
100001668,san_diego,val,train
100001669,san_diego,test,train
100001670,san_diego,train,train
100001671,san_diego,train,train
100001672,san_diego,test,train
100001673,san_diego,test,train
100001674,san_diego,test,train
100001675,san_diego,test,train
100001676,san_diego,train,train
100001677,san_diego,train,train
100001678,san_diego,val,train
100001679,san_diego,val,train
100001680,san_diego,train,train
