id,strategy,stratum,x,y,margin,in_mask,verdict,note
72,uncertain,detected,1021,574,0.03870970010757446,1,o,demo-judge:model
73,uncertain,detected,971,514,0.025806427001953125,1,x,demo-judge:model
74,uncertain,detected,230,58,0.03870970010757446,1,x,demo-judge:model
75,uncertain,missed_candidate,1017,688,0.0,0,x,demo-judge:model
76,uncertain,missed_candidate,743,778,0.0,0,x,demo-judge:model
77,uncertain,missed_candidate,1012,672,0.0,0,x,demo-judge:model
78,uncertain,detected,1069,767,0.025806427001953125,1,x,demo-judge:model
79,uncertain,detected,1079,643,0.03870970010757446,1,o,demo-judge:model
80,uncertain,missed_candidate,1064,629,0.0,0,o,demo-judge:model
81,uncertain,detected,1062,615,0.025806427001953125,1,o,demo-judge:model
82,uncertain,detected,1058,616,0.012903213500976562,1,o,demo-judge:model
83,uncertain,missed_candidate,563,315,0.0,0,x,demo-judge:model
84,uncertain,detected,954,662,-0.03870964050292969,1,o,demo-judge:model
85,uncertain,detected,1111,629,0.0,1,x,demo-judge:model
86,uncertain,missed_candidate,1356,1157,0.0,0,x,demo-judge:model
87,uncertain,missed_candidate,617,278,0.0,0,x,demo-judge:model
88,uncertain,missed_candidate,1063,621,0.0,0,o,demo-judge:model
89,uncertain,missed_candidate,504,52,0.0,0,x,demo-judge:model
90,uncertain,detected,1084,661,0.03870970010757446,1,o,demo-judge:model
91,uncertain,detected,1079,732,0.0,1,o,demo-judge:model
92,uncertain,missed_candidate,977,623,0.0,0,x,demo-judge:model
93,uncertain,detected,1064,617,0.025806427001953125,1,o,demo-judge:model
94,uncertain,detected,841,731,0.025806427001953125,1,o,demo-judge:model
95,uncertain,detected,1025,575,0.03870970010757446,1,o,demo-judge:model
96,uncertain,missed_candidate,264,52,0.0,0,x,demo-judge:model
97,uncertain,missed_candidate,1067,698,0.0,0,x,demo-judge:model
98,uncertain,detected,1048,607,0.012903213500976562,1,o,demo-judge:model
99,uncertain,missed_candidate,768,263,0.0,0,x,demo-judge:model
